nodenumber,x-coordinate,y-coordinate,pressure,x-velocity,y-velocity
15370,9.8373963150e-01,4.0040440310e-01,-2.4845048180e-03,1.0464502000e+00,1.4055285390e-01
15371,4.0246948330e-03,4.0040669790e-01,2.4855279650e-04,1.0000088780e+00,4.7255823600e+01
15372,1.5471987890e-02,4.0040861730e-01,9.7414274150e-04,1.0001103440e+00,4.7154350850e+01
15373,6.3587273600e-03,4.0046786200e-01,4.0127689690e-04,1.0000234080e+00,4.7243201820e+01
15374,2.3737003630e-01,4.0048552610e-01,3.7448531670e-02,1.0426884560e+00,3.4395305590e+00
15375,7.5548122660e-01,4.0054015470e-01,-4.6218906650e-03,1.0463687170e+00,9.8880547400e-02
15376,9.9794469320e-01,4.0060331480e-01,-2.4672231420e-03,1.0465273370e+00,1.3752071470e-02
15377,6.2696344510e-02,4.0061840610e-01,4.6948345480e-03,1.0016705670e+00,4.5597058990e+01
15378,9.8744599960e-01,4.0067088380e-01,-2.4836793670e-03,1.0464486830e+00,1.0925039720e-01
15379,9.9561033250e-01,4.0070509230e-01,-2.4736018270e-03,1.0465010150e+00,3.5917481700e-02
15380,9.9713052060e-01,4.0074517120e-01,-2.4702648280e-03,1.0465101030e+00,2.1838875800e-02
15381,9.9301145640e-01,4.0074857510e-01,-2.4781824300e-03,1.0464800210e+00,6.0043485860e-02
15382,9.9025590090e-01,4.0081340510e-01,-2.4820674760e-03,1.0464539550e+00,8.4716414930e-02
15383,1.0838658050e-02,4.0082868380e-01,6.7337850970e-04,1.0000565070e+00,4.7183161970e+01
15384,6.8470983730e-01,4.0093428260e-01,-6.8606555960e-03,1.0476336340e+00,-1.3817763110e+00
15385,1.3096712400e-02,4.0096741480e-01,8.1503987150e-04,1.0000804450e+00,4.7150370360e+01
15386,0.0000000000e+00,4.0100000000e-01,0.0000000000e+00,1.0000000000e+00,4.7229521290e+01
15387,1.0000000000e+00,4.0100000000e-01,-2.4658893380e-03,1.0464995200e+00,0.0000000000e+00
15388,2.8372738810e-02,4.0110774150e-01,1.8220888030e-03,1.0003624700e+00,4.6861763700e+01
15389,8.6838530380e-03,4.0116581920e-01,5.3565579710e-04,1.0000404590e+00,4.7181266780e+01
